,date,open,high,low,close,volume,average,barCount
0,2016-03-31,206.975,207.455,206.375,206.615,-1,-1.0,-1
1,2016-04-01,205.39,208.195,205.03,207.95,-1,-1.0,-1
2,2016-04-04,207.88,208.125,206.945,207.315,-1,-1.0,-1
3,2016-04-05,205.725,206.285,204.935,205.245,-1,-1.0,-1
4,2016-04-06,205.33,207.535,205.02,207.465,-1,-1.0,-1
5,2016-04-07,206.185,206.61,204.125,204.98,-1,-1.0,-1
6,2016-04-08,206.39,206.89,204.92,205.565,-1,-1.0,-1
7,2016-04-11,206.295,207.12,204.95,205.015,-1,-1.0,-1
8,2016-04-12,205.255,207.31,204.74,207.005,-1,-1.0,-1
9,2016-04-13,208.045,209.165,207.91,209.075,-1,-1.0,-1
10,2016-04-14,209.15,209.67,208.66,209.09,-1,-1.0,-1
11,2016-04-15,209.09,209.19,208.465,208.875,-1,-1.0,-1
12,2016-04-18,208.19,210.345,208.055,210.325,-1,-1.0,-1
13,2016-04-19,210.81,211.275,210.015,210.955,-1,-1.0,-1
14,2016-04-20,211.03,211.995,210.465,211.145,-1,-1.0,-1
15,2016-04-21,211.215,211.335,209.725,210.015,-1,-1.0,-1
16,2016-04-22,209.635,210.355,208.98,210.055,-1,-1.0,-1
17,2016-04-25,209.325,209.685,208.605,209.68,-1,-1.0,-1
18,2016-04-26,210.115,210.595,209.435,210.055,-1,-1.0,-1
19,2016-04-27,209.53,210.9,209.13,210.425,-1,-1.0,-1
20,2016-04-28,209.535,210.85,208.045,208.555,-1,-1.0,-1
21,2016-04-29,207.785,208.2,206.105,207.395,-1,-1.0,-1
22,2016-05-02,208.005,209.265,207.475,209.06,-1,-1.0,-1
23,2016-05-03,207.57,207.855,206.33,207.215,-1,-1.0,-1
24,2016-05-04,206.07,206.895,205.475,206.045,-1,-1.0,-1
25,2016-05-05,206.62,207.03,205.52,206.035,-1,-1.0,-1
26,2016-05-06,205.11,206.82,204.93,206.77,-1,-1.0,-1
27,2016-05-09,206.61,207.45,206.42,206.95,-1,-1.0,-1
28,2016-05-10,207.775,209.535,207.71,209.485,-1,-1.0,-1
29,2016-05-11,209.0,209.405,207.565,207.625,-1,-1.0,-1
30,2016-05-12,208.38,208.55,206.435,207.635,-1,-1.0,-1
31,2016-05-13,207.27,207.915,205.435,205.805,-1,-1.0,-1
32,2016-05-16,206.02,208.405,205.945,207.855,-1,-1.0,-1
33,2016-05-17,207.525,207.855,205.28,205.945,-1,-1.0,-1
34,2016-05-18,205.49,207.355,204.68,205.995,-1,-1.0,-1
35,2016-05-19,205.095,205.585,203.805,205.265,-1,-1.0,-1
36,2016-05-20,205.975,207.155,205.895,206.51,-1,-1.0,-1
37,2016-05-23,206.55,206.89,206.045,206.21,-1,-1.0,-1
38,2016-05-24,207.24,209.315,207.185,208.91,-1,-1.0,-1
39,2016-05-25,209.765,210.865,209.7,210.325,-1,-1.0,-1
40,2016-05-26,210.545,210.805,210.055,210.4,-1,-1.0,-1
41,2016-05-27,210.635,211.31,210.57,211.31,-1,-1.0,-1
42,2016-05-31,211.67,211.805,210.27,210.985,-1,-1.0,-1
43,2016-06-01,210.225,211.585,209.98,211.38,-1,-1.0,-1
44,2016-06-02,210.92,212.025,210.33,212.02,-1,-1.0,-1
45,2016-06-03,211.36,211.805,209.97,211.4,-1,-1.0,-1
46,2016-06-06,211.805,212.885,211.63,212.485,-1,-1.0,-1
47,2016-06-07,212.63,213.455,212.625,212.79,-1,-1.0,-1
48,2016-06-08,212.96,213.645,212.8,213.48,-1,-1.0,-1
49,2016-06-09,212.63,213.345,212.315,213.145,-1,-1.0,-1
50,2016-06-10,211.575,211.98,210.535,211.175,-1,-1.0,-1
51,2016-06-13,210.485,211.485,209.435,209.545,-1,-1.0,-1
52,2016-06-14,209.095,209.825,208.0,209.175,-1,-1.0,-1
53,2016-06-15,209.615,210.32,208.61,208.82,-1,-1.0,-1
54,2016-06-16,207.785,209.665,206.645,209.52,-1,-1.0,-1
55,2016-06-17,209.34,209.375,207.9,208.75,-1,-1.0,-1
56,2016-06-20,210.99,211.79,209.915,210.04,-1,-1.0,-1
57,2016-06-21,209.44,210.105,208.95,209.555,-1,-1.0,-1
58,2016-06-22,209.825,210.7,209.11,209.225,-1,-1.0,-1
59,2016-06-23,210.98,212.025,210.455,212.01,-1,-1.0,-1
60,2016-06-24,204.88,208.075,203.875,204.37,-1,-1.0,-1
61,2016-06-27,202.73,202.735,199.79,200.715,-1,-1.0,-1
62,2016-06-28,202.64,204.345,202.26,204.325,-1,-1.0,-1
63,2016-06-29,205.995,208.105,205.88,207.83,-1,-1.0,-1
64,2016-06-30,208.405,210.72,207.73,210.695,-1,-1.0,-1
65,2016-07-01,210.555,211.685,210.525,211.015,-1,-1.0,-1
66,2016-07-05,210.165,210.27,208.895,209.635,-1,-1.0,-1
67,2016-07-06,209.015,210.995,208.24,210.935,-1,-1.0,-1
68,2016-07-07,211.07,211.845,209.835,210.695,-1,-1.0,-1
69,2016-07-08,212.255,214.16,211.98,213.86,-1,-1.0,-1
70,2016-07-11,214.42,215.29,214.175,214.62,-1,-1.0,-1
