,date,open,high,low,close,volume,average,barCount
0,2016-04-04,27.61,28.045,27.57,27.78,-1,-1.0,-1
1,2016-04-05,27.405,27.685,27.355,27.45,-1,-1.0,-1
2,2016-04-06,27.555,27.745,27.3,27.74,-1,-1.0,-1
3,2016-04-07,27.495,27.565,27.03,27.135,-1,-1.0,-1
4,2016-04-08,27.235,27.44,27.04,27.165,-1,-1.0,-1
5,2016-04-11,27.235,27.655,27.21,27.26,-1,-1.0,-1
6,2016-04-12,27.34,27.625,27.165,27.61,-1,-1.0,-1
7,2016-04-13,27.705,28.085,27.695,28.01,-1,-1.0,-1
8,2016-04-14,27.905,28.095,27.835,28.025,-1,-1.0,-1
9,2016-04-15,28.005,28.07,27.435,27.46,-1,-1.0,-1
10,2016-04-18,27.22,27.24,26.735,26.85,-1,-1.0,-1
11,2016-04-19,26.96,26.975,26.56,26.735,-1,-1.0,-1
12,2016-04-20,26.66,27.02,26.52,26.79,-1,-1.0,-1
13,2016-04-21,26.73,26.73,26.38,26.49,-1,-1.0,-1
14,2016-04-22,26.255,26.62,26.155,26.42,-1,-1.0,-1
15,2016-04-25,26.225,26.41,26.13,26.27,-1,-1.0,-1
16,2016-04-26,25.98,26.325,25.98,26.075,-1,-1.0,-1
17,2016-04-27,23.995,24.675,23.925,24.455,-1,-1.0,-1
18,2016-04-28,24.39,24.47,23.565,23.71,-1,-1.0,-1
19,2016-04-29,23.5,23.67,23.13,23.435,-1,-1.0,-1
20,2016-05-02,23.49,23.515,23.1,23.415,-1,-1.0,-1
21,2016-05-03,23.55,23.935,23.42,23.8,-1,-1.0,-1
22,2016-05-04,23.8,23.97,23.455,23.55,-1,-1.0,-1
23,2016-05-05,23.5,23.515,23.17,23.31,-1,-1.0,-1
24,2016-05-06,23.34,23.355,22.965,23.18,-1,-1.0,-1
25,2016-05-09,23.255,23.44,23.15,23.2,-1,-1.0,-1
26,2016-05-10,23.335,23.395,23.03,23.35,-1,-1.0,-1
27,2016-05-11,23.365,23.39,23.115,23.13,-1,-1.0,-1
28,2016-05-12,23.19,23.195,22.365,22.585,-1,-1.0,-1
29,2016-05-13,22.5,22.92,22.5,22.635,-1,-1.0,-1
30,2016-05-16,23.095,23.595,22.915,23.47,-1,-1.0,-1
31,2016-05-17,23.64,23.67,23.25,23.37,-1,-1.0,-1
32,2016-05-18,23.54,23.8,23.47,23.645,-1,-1.0,-1
33,2016-05-19,23.66,23.66,23.395,23.55,-1,-1.0,-1
34,2016-05-20,23.645,23.86,23.645,23.805,-1,-1.0,-1
35,2016-05-23,23.97,24.295,23.92,24.11,-1,-1.0,-1
36,2016-05-24,24.31,24.52,24.21,24.475,-1,-1.0,-1
37,2016-05-25,24.64,24.935,24.53,24.9,-1,-1.0,-1
38,2016-05-26,24.92,25.18,24.66,25.105,-1,-1.0,-1
39,2016-05-27,24.855,25.115,24.81,25.085,-1,-1.0,-1
40,2016-05-31,24.9,25.1,24.705,24.965,-1,-1.0,-1
41,2016-06-01,24.755,24.885,24.585,24.615,-1,-1.0,-1
42,2016-06-02,24.395,24.46,24.16,24.425,-1,-1.0,-1
43,2016-06-03,24.455,24.57,24.365,24.48,-1,-1.0,-1
44,2016-06-06,24.49,24.78,24.385,24.66,-1,-1.0,-1
45,2016-06-07,24.81,24.97,24.74,24.76,-1,-1.0,-1
46,2016-06-08,24.755,24.89,24.67,24.735,-1,-1.0,-1
47,2016-06-09,24.62,24.995,24.62,24.915,-1,-1.0,-1
48,2016-06-10,24.63,24.835,24.62,24.71,-1,-1.0,-1
49,2016-06-13,24.655,24.78,24.275,24.34,-1,-1.0,-1
50,2016-06-14,24.335,24.62,24.19,24.365,-1,-1.0,-1
51,2016-06-15,24.45,24.6,24.26,24.285,-1,-1.0,-1
52,2016-06-16,24.105,24.44,24.015,24.39,-1,-1.0,-1
53,2016-06-17,24.145,24.16,23.825,23.83,-1,-1.0,-1
54,2016-06-20,24.005,24.145,23.76,23.775,-1,-1.0,-1
55,2016-06-21,23.735,24.085,23.675,23.98,-1,-1.0,-1
56,2016-06-22,24.06,24.225,23.84,23.89,-1,-1.0,-1
57,2016-06-23,23.99,24.025,23.815,24.02,-1,-1.0,-1
58,2016-06-24,23.23,23.665,23.17,23.34,-1,-1.0,-1
59,2016-06-27,23.26,23.265,22.875,23.01,-1,-1.0,-1
60,2016-06-28,23.215,23.415,23.035,23.395,-1,-1.0,-1
61,2016-06-29,23.49,23.635,23.41,23.6,-1,-1.0,-1
62,2016-06-30,23.615,23.94,23.575,23.905,-1,-1.0,-1
63,2016-07-01,23.87,24.115,23.835,23.975,-1,-1.0,-1
64,2016-07-05,23.845,23.85,23.615,23.755,-1,-1.0,-1
65,2016-07-06,23.645,23.915,23.595,23.885,-1,-1.0,-1
66,2016-07-07,23.935,24.125,23.905,23.98,-1,-1.0,-1
67,2016-07-08,24.12,24.22,24.015,24.17,-1,-1.0,-1
68,2016-07-11,24.19,24.41,24.185,24.245,-1,-1.0,-1
69,2016-07-12,24.295,24.425,24.285,24.355,-1,-1.0,-1
70,2016-07-13,24.34,24.415,24.21,24.22,-1,-1.0,-1
71,2016-07-14,24.345,24.745,24.335,24.695,-1,-1.0,-1
72,2016-07-15,24.745,24.825,24.625,24.69,-1,-1.0,-1
73,2016-07-18,24.675,25.03,24.655,24.96,-1,-1.0,-1
74,2016-07-19,24.88,25.0,24.84,24.97,-1,-1.0,-1
75,2016-07-20,24.98,25.115,24.935,24.985,-1,-1.0,-1
76,2016-07-21,24.96,25.25,24.785,24.855,-1,-1.0,-1
77,2016-07-22,24.81,24.825,24.58,24.665,-1,-1.0,-1
78,2016-07-25,24.565,24.71,24.23,24.335,-1,-1.0,-1
79,2016-07-26,24.205,24.49,24.105,24.17,-1,-1.0,-1
80,2016-07-27,26.065,26.075,25.69,25.74,-1,-1.0,-1
81,2016-07-28,25.71,26.11,25.705,26.085,-1,-1.0,-1
82,2016-07-29,26.055,26.135,25.92,26.05,-1,-1.0,-1
83,2016-08-01,26.11,26.54,26.105,26.515,-1,-1.0,-1
84,2016-08-02,26.4,26.515,26.0,26.12,-1,-1.0,-1
85,2016-08-03,26.215,26.46,26.19,26.45,-1,-1.0,-1
86,2016-08-04,26.39,26.5,26.32,26.475,-1,-1.0,-1
87,2016-08-05,26.56,26.91,26.55,26.87,-1,-1.0,-1
88,2016-08-08,26.885,27.09,26.79,27.09,-1,-1.0,-1
89,2016-08-09,27.045,27.235,27.005,27.205,-1,-1.0,-1
90,2016-08-10,27.16,27.225,26.94,27.0,-1,-1.0,-1
91,2016-08-11,27.135,27.235,26.985,26.985,-1,-1.0,-1
92,2016-08-12,26.945,27.11,26.945,27.04,-1,-1.0,-1
93,2016-08-15,27.035,27.385,27.025,27.375,-1,-1.0,-1
94,2016-08-16,27.415,27.555,27.305,27.345,-1,-1.0,-1
95,2016-08-17,27.28,27.345,27.085,27.3,-1,-1.0,-1
96,2016-08-18,27.315,27.4,27.255,27.27,-1,-1.0,-1
97,2016-08-19,27.195,27.42,27.09,27.34,-1,-1.0,-1
98,2016-08-22,27.22,27.26,26.965,27.125,-1,-1.0,-1
99,2016-08-23,27.145,27.33,27.135,27.205,-1,-1.0,-1
100,2016-08-24,27.14,27.175,26.925,27.005,-1,-1.0,-1
101,2016-08-25,26.85,26.97,26.67,26.895,-1,-1.0,-1
102,2016-08-26,26.87,26.985,26.58,26.735,-1,-1.0,-1
103,2016-08-29,26.66,26.86,26.575,26.705,-1,-1.0,-1
104,2016-08-30,26.45,26.625,26.375,26.5,-1,-1.0,-1
105,2016-08-31,26.42,26.64,26.415,26.53,-1,-1.0,-1
106,2016-09-01,26.535,26.7,26.405,26.68,-1,-1.0,-1
107,2016-09-02,26.93,27.0,26.705,26.93,-1,-1.0,-1
108,2016-09-06,26.955,27.075,26.88,26.925,-1,-1.0,-1
109,2016-09-07,26.955,27.19,26.77,27.095,-1,-1.0,-1
